bond_sym_id,volume_weighted_yield_actual,volume_weighted_yield_predicted,direction,percentage_change,trd_exctn_dt,error
A4404722,5.616005305475505,6.032337296100748,up,9.979711095164612,2023-09-12,-0.4163319906252436
A4881169,5.400925678571428,5.956915004543745,up,10.996353695824327,2023-09-12,-0.555989325972317
A4996671,5.5410916666666665,5.948440666876434,up,8.586291628913466,2023-09-12,-0.4073490002097673
A5143230,5.44846790743338,6.085082757933411,up,11.958226532610857,2023-09-12,-0.6366148505000311
AA.GI,6.148399392899881,5.991557464886697,down,-3.9499552925575068,2023-09-12,0.15684192801318364
AA.HO,6.35578705355423,5.872487005688676,down,-7.444621110683052,2023-09-12,0.483300047865554
AA.HQ,6.179095953558505,6.170151151074966,up,0.19393859377875042,2023-09-12,0.008944802483539682
AA4165125,6.2719251268115945,6.302555909273624,up,0.9585751428903434,2023-09-12,-0.03063078246202977
AA4979362,6.240208572883733,6.092286080096277,down,-3.071392103623226,2023-09-12,0.1479224927874565
AA5243241,6.133015239828695,5.969258442939384,down,-2.516281979883568,2023-09-12,0.16375679688931122
AAGH4973989,6.894321,6.298439143042126,down,-8.017038070939844,2023-09-12,0.5958818569578739
AAGI4343522,5.61602,no data prior to target date,N/A,N/A,2023-09-12,N/A
AAGI5043576,6.045756,5.76410070394046,down,-1.2149508330093848,2023-09-12,0.2816552960595402
AAL5005428,0.314025,6.16216338067471,up,1398.6964174421169,2023-09-12,-5.84813838067471
AAL5291551,6.020669,5.916506792990397,down,-0.3184147303419947,2023-09-12,0.10416220700960288
AAP5009293,6.9278033651530535,6.633979220666895,up,1.0262388779326832,2023-09-12,0.2938241444861589
AAP5049981,6.671692792119563,6.00180345037953,down,-4.100057861639179,2023-09-12,0.6698893417400331
AAP5372191,7.014492756011233,6.032595346233011,down,-8.700422099735473,2023-09-12,0.981897409778222
AAP5552143,6.533147909102152,6.069733493371076,down,-2.7060097041497526,2023-09-12,0.46341441573107645
AAP5552144,6.7403933208771525,6.030971951585715,down,-5.429426196431004,2023-09-12,0.7094213692914373
AAPL4001810,5.098461615249176,5.785961023659262,up,13.705095045240794,2023-09-12,-0.6874994084100852
AAPL4122386,4.986713780373832,5.6993552416565905,up,15.456524215238202,2023-09-12,-0.7126414612827583
AAPL4122390,5.50827156171031,6.182030674266645,up,13.94480036034449,2023-09-12,-0.6737591125563354
AAPL4208639,5.0501864720194645,5.69947183129233,up,13.438936828271986,2023-09-12,-0.6492853592728656
AAPL4208641,5.308834865484679,6.043517216966557,up,13.378688998785144,2023-09-12,-0.7346823514818785
AAPL4242665,5.192874081132076,6.0464037217748325,up,18.009987695544243,2023-09-12,-0.8535296406427566
AAPL4242667,5.130330536016949,5.70166615201881,up,11.482326297351184,2023-09-12,-0.5713356160018614
AAPL4336433,5.127308248923518,5.8457305307295195,up,14.23417027742397,2023-09-12,-0.7184222818060011
AAPL4336436,4.719229417553881,5.858619390070433,up,24.46062715425642,2023-09-12,-1.1393899725165522
AAPL4336441,5.128506020918758,6.037269461082632,up,19.14179569613284,2023-09-12,-0.9087634401638738
AAPL4389208,5.07098384168646,6.0275268344622255,up,20.12129298640091,2023-09-12,-0.9565429927757654
AAPL4389215,5.132981781747573,5.811943634553423,up,13.253549105877585,2023-09-12,-0.6789618528058501
AAPL4452435,4.934799497033319,6.006681015985946,up,22.15863401349758,2023-09-12,-1.071881518952627
AAPL4452437,5.045968891890541,5.651175631356507,up,13.026070494048561,2023-09-12,-0.6052067394659657
AAPL4452439,5.544477190989848,6.083252121693027,up,6.9950606623685685,2023-09-12,-0.5387749307031795
AAPL4492956,4.877579223280424,6.008355542578695,up,24.030936250830152,2023-09-12,-1.1307763192982705
AAPL4492960,5.631359642606867,6.055275077599236,up,8.633294812097397,2023-09-12,-0.4239154349923693
AAPL4507383,4.827510383125865,6.011672813039725,up,24.952193841309985,2023-09-12,-1.1841624299138607
AAPL4538816,4.841624113573407,5.996684107154567,up,25.836358307219587,2023-09-12,-1.15505999358116
AAPL4562446,4.824096972154696,6.077986782402754,up,26.47936430815389,2023-09-12,-1.253889810248058
AAPL4562450,5.395010285942544,6.05092304510133,up,14.77736965924279,2023-09-12,-0.6559127591587854
AAPL4562451,5.129124525728987,5.656481339321465,up,10.448691880169788,2023-09-12,-0.527356813592478
AAPL4880745,5.329063576470588,6.088692472852308,up,10.727282307078164,2023-09-12,-0.7596288963817202
AAPL4880746,4.991280167032004,6.023846843501938,up,21.132296204619863,2023-09-12,-1.0325666764699344
AAPL4880747,4.783463109523809,5.996667965675872,up,25.772104055325645,2023-09-12,-1.2132048561520632
AAPL4880748,5.0628941041009465,5.605859000420071,up,10.284304237332185,2023-09-12,-0.5429648963191243
AAPL4984116,5.074399594383776,5.602813440783615,up,11.22468403304963,2023-09-12,-0.5284138463998396
AAPL4984119,5.317613773609313,6.039795182664661,up,15.24008738073141,2023-09-12,-0.7221814090553478
AAPL4984120,4.730055543920411,5.950693617019519,up,25.696769813229125,2023-09-12,-1.2206380730991082
AAPL5030513,4.939993546816479,5.589932695039788,up,13.691856591897336,2023-09-12,-0.649939148223309
AAPL5030514,4.825275229925717,5.414203211781865,up,12.103333705548653,2023-09-12,-0.5889279818561475
AAPL5030515,5.117450182227222,6.039630818233275,up,18.855334598188108,2023-09-12,-0.9221806360060532
AAPL5030516,4.753282014,5.945657744617814,up,25.21336958840402,2023-09-12,-1.1923757306178144
AAPL5123994,5.100912034780358,6.078628326176902,up,18.78301839287086,2023-09-12,-0.9777162913965434
AAPL5123995,4.828136357541899,5.990078651946567,up,24.682594353114993,2023-09-12,-1.1619422944046685
AAPL5123996,4.740337708237986,6.012342609587543,up,27.64078892016888,2023-09-12,-1.2720049013495576
AAPL5123997,4.999323884848483,5.769763561163758,up,16.010643677405113,2023-09-12,-0.7704396763152754
AAPL5123998,5.047288690140845,5.591097079279061,up,10.507130779911073,2023-09-12,-0.5438083891382162
AAPL5123999,5.057232820992677,5.519481226728246,up,9.100353592437019,2023-09-12,-0.46224840573556847
AAPL5231623,4.7792677080489145,5.988066902407872,up,26.844455105344768,2023-09-12,-1.2087991943589573
AAPL5231624,4.782609818713451,5.934291537550406,up,25.850576706888813,2023-09-12,-1.1516817188369552
AAPL5231843,5.081732960498696,5.586100840955667,up,9.951958185526784,2023-09-12,-0.5043678804569707
AAPL5231844,5.090750618879958,5.6011176286209094,up,10.099303299774073,2023-09-12,-0.5103670097409516
AAPL5455692,4.759873067729084,5.961799389060985,up,26.170358561760576,2023-09-12,-1.201926321331901
AAPL5455693,4.697814489396126,5.946064099317634,up,26.751743708007908,2023-09-12,-1.2482496099215084
AAPL5455705,5.105451875458996,5.612250292098712,up,9.777258155077217,2023-09-12,-0.5067984166397155
