bond_sym_id,previous yield,volume_weighted_yield_predicted,direction,percentage_change,trd_exctn_dt,error,volume_weighted_yield_actual
A4404722,5.484954666666666,6.050666700295283,up,10.31388713322608,2023-09-12,-0.43466139481977795,5.616005305475505
A4881169,5.366766390243902,5.962924803305096,up,11.108335442827064,2023-09-12,-0.561999124733668,5.400925678571428
A4996671,5.478077,5.949463662046172,up,8.60496597704217,2023-09-12,-0.40837199537950575,5.5410916666666665
A5143230,5.435136788417211,6.049960950018674,up,11.31202737917676,2023-09-12,-0.601493042585294,5.44846790743338
AA.GI,6.23795385326087,6.006146575405071,down,-3.7160787544880955,2023-09-12,0.14225281749480967,6.148399392899881
AA.HO,6.344836006464123,5.826423932071882,down,-8.17061424226068,2023-09-12,0.5293631214823478,6.35578705355423
AA.HQ,6.158208009060224,6.156094983928603,down,-0.03431233775332111,2023-09-12,0.02300096962990228,6.179095953558505
AA4165125,6.2427147969881585,6.2827035540360034,up,0.6405667782090229,2023-09-12,-0.010778427224408915,6.2719251268115945
AA4979362,6.285333311099796,6.111386917611685,down,-2.767496724174116,2023-09-12,0.12882165527204847,6.240208572883733
AA5243241,6.123338916666665,5.979190367081258,down,-2.3540841287268877,2023-09-12,0.15382487274743717,6.133015239828695
AAGH4973989,6.847397616853933,6.274085931148608,down,-8.372694529877986,2023-09-12,0.6202350688513913,6.894321
AAGI4343522,,no data prior to target date,N/A,N/A,,N/A,5.61602
AAGI5043576,5.834992999999999,5.706696539388557,down,-2.198742322594767,2023-09-12,0.339059460611443,6.045756
AAL5005428,0.411168219858156,6.1652152562876354,up,1399.4386624565732,2023-09-12,-5.8511902562876354,0.314025
AAL5291551,5.9354059999999995,5.909577775572088,down,-0.4351551423426056,2023-09-12,0.11109122442791186,6.020669
AAP5009293,6.566590317870346,6.491987405836921,down,-1.1360981639192524,2023-09-12,0.43581595931613215,6.9278033651530535
AAP5049981,6.258401534508075,6.017500753470334,down,-3.8492381754261533,2023-09-12,0.6541920386492288,6.671692792119563
AAP5372191,6.60747342427257,5.99955555170069,down,-9.20045883709031,2023-09-12,1.0149372043105425,7.014492756011233
AAP5552143,6.238549241237113,6.085961772874797,down,-2.445880644071943,2023-09-12,0.44718613622735504,6.533147909102152
AAP5552144,6.37721831329114,6.036432136603244,down,-5.343806028682493,2023-09-12,0.7039611842739086,6.7403933208771525
AAPL4001810,5.088567949709864,5.699487963550453,up,12.00573559945136,2023-09-12,-0.6010263483012768,5.098461615249176
AAPL4122386,4.9363648181818185,5.621652189952762,up,13.88242962203412,2023-09-12,-0.6349384095789299,4.986713780373832
AAPL4122390,5.425460972959096,6.1920927329463185,up,14.13026033747497,2023-09-12,-0.6838211712360085,5.50827156171031
AAPL4208639,5.024264146551725,5.614552466807385,up,11.74875171841412,2023-09-12,-0.5643659947879209,5.0501864720194645
AAPL4208641,5.330381988304093,6.075656842321341,up,13.981640633870668,2023-09-12,-0.7668219768366624,5.308834865484679
