bond_sym_id,previous yield,volume_weighted_yield_predicted,direction,percentage_change,trd_exctn_dt,error,volume_weighted_yield_actual
A4404722,5.484954666666666,6.177022476837139,up,12.617566638724078,2023-09-12,-0.5610171713616339,5.616005305475505
A4881169,5.366766390243902,6.177022476837139,up,15.097658956539991,2023-09-12,-0.7760967982657103,5.400925678571428
A4996671,5.478077,6.177022476837139,up,12.75895678058448,2023-09-12,-0.6359308101704721,5.5410916666666665
A5143230,5.435136788417211,6.177022476837139,up,13.64980712170771,2023-09-12,-0.7285545694037587,5.44846790743338
AA.GI,6.23795385326087,6.177022476837139,down,-0.9767846613978988,2023-09-12,-0.028623083937257654,6.148399392899881
AA.HO,6.344836006464123,6.177022476837139,down,-2.644883641689338,2023-09-12,0.17876457671709112,6.35578705355423
AA.HQ,6.158208009060224,6.177022476837139,up,0.3055185493772572,2023-09-12,0.002073476721366596,6.179095953558505
AA4165125,6.2427147969881585,6.177022476837139,down,-1.052303721815283,2023-09-12,0.09490264997445585,6.2719251268115945
AA4979362,6.285333311099796,6.177022476837139,down,-1.7232313530832544,2023-09-12,0.06318609604659464,6.240208572883733
AA5243241,6.123338916666665,6.177022476837139,up,0.8767040482498301,2023-09-12,-0.04400723700844367,6.133015239828695
AAGH4973989,6.847397616853933,6.177022476837139,down,-9.790217795542613,2023-09-12,0.717298523162861,6.894321
AAGI4343522,,no data prior to target date,N/A,N/A,,N/A,5.61602
AAGI5043576,5.834992999999999,6.177022476837139,up,5.861694724177728,2023-09-12,-0.13126647683713877,6.045756
AAL5005428,0.411168219858156,6.177022476837139,up,1402.310290169818,2023-09-12,-5.862997476837139,0.314025
AAL5291551,5.9354059999999995,6.177022476837139,up,4.0707657881725225,2023-09-12,-0.15635347683713885,6.020669
AAP5009293,6.566590317870346,6.177022476837139,down,-5.932574169779338,2023-09-12,0.7507808883159148,6.9278033651530535
AAP5049981,6.258401534508075,6.177022476837139,down,-1.300316977461772,2023-09-12,0.49467031528242433,6.671692792119563
AAP5372191,6.60747342427257,6.177022476837139,down,-6.514607321070236,2023-09-12,0.8374702791740942,7.014492756011233
AAP5552143,6.238549241237113,6.177022476837139,down,-0.9862351328940274,2023-09-12,0.3561254322650136,6.533147909102152
AAP5552144,6.37721831329114,6.177022476837139,down,-3.1392344846774503,2023-09-12,0.5633708440400138,6.7403933208771525
AAPL4001810,5.088567949709864,6.177022476837139,up,21.39019342739317,2023-09-12,-1.0785608615879623,5.098461615249176
AAPL4122386,4.9363648181818185,6.177022476837139,up,25.13302205877653,2023-09-12,-1.1903086964633065,4.986713780373832
AAPL4122390,5.425460972959096,6.177022476837139,up,13.852491200727124,2023-09-12,-0.6687509151268287,5.50827156171031
AAPL4208639,5.024264146551725,6.177022476837139,up,22.943824143413714,2023-09-12,-1.1268360048176742,5.0501864720194645
AAPL4208641,5.330381988304093,6.177022476837139,up,15.88329861519759,2023-09-12,-0.86818761135246,5.308834865484679
AAPL4242665,5.12363727837515,6.177022476837139,up,20.559324191583812,2023-09-12,-0.9841483957050627,5.192874081132076
AAPL4242667,5.114412608157318,6.177022476837139,up,20.776772429056532,2023-09-12,-1.0466919408201898,5.130330536016949
AAPL4336433,5.117322178235147,6.177022476837139,up,20.708102044250396,2023-09-12,-1.0497142279136202,5.127308248923518
