bond_sym_id,previous yield,volume_weighted_yield_predicted,direction,percentage_change,trd_exctn_dt,error,volume_weighted_yield_actual
A4404722,5.484954666666666,5.302754345399317,down,-3.321820002900334,2023-09-12,0.31325096007618747,5.616005305475505
A4881169,5.366766390243902,5.720773123511677,up,6.596276184320482,2023-09-12,-0.3198474449402484,5.400925678571428
A4996671,5.478077,5.252027976286409,down,-4.126430200115676,2023-09-12,0.2890636903802575,5.5410916666666665
A5143230,5.435136788417211,5.242796583386619,down,-3.538829150362627,2023-09-12,0.2056713240467607,5.44846790743338
AA.GI,6.23795385326087,5.349281012898147,down,-14.246223381376447,2023-09-12,0.7991183800017341,6.148399392899881
AA.HO,6.344836006464123,5.401176447777255,down,-14.872875480555644,2023-09-12,0.954610605776975,6.35578705355423
AA.HQ,6.158208009060224,5.698547268675299,down,-7.464196397858785,2023-09-12,0.4805486848832059,6.179095953558505
AA4165125,6.2427147969881585,5.4581870220441315,down,-12.567093010920951,2023-09-12,0.813738104767463,6.2719251268115945
AA4979362,6.285333311099796,6.161714639226762,down,-1.9667798946274744,2023-09-12,0.07849393365697122,6.240208572883733
AA5243241,6.123338916666665,5.562516233474954,down,-9.15877253936164,2023-09-12,0.5704990063537414,6.133015239828695
AAGH4973989,6.847397616853933,6.400554453316943,down,-6.525737054280989,2023-09-12,0.493766546683057,6.894321
AAGI4343522,,no data prior to target date,N/A,N/A,,N/A,5.61602
AAGI5043576,5.834992999999999,5.461923677963291,down,-6.393655005870746,2023-09-12,0.5838323220367085,6.045756
AAL5005428,0.411168219858156,6.145184259156909,up,1394.566934496266,2023-09-12,-5.831159259156909,0.314025
AAL5291551,5.9354059999999995,5.582798731237424,down,-5.9407438810854,2023-09-12,0.43787026876257595,6.020669
AAP5009293,6.566590317870346,6.410882492961429,down,-2.3712127203241664,2023-09-12,0.5169208721916245,6.9278033651530535
AAP5049981,6.258401534508075,5.127623078620724,down,-18.06816724130554,2023-09-12,1.544069713498839,6.671692792119563
AAP5372191,6.60747342427257,5.196850963209239,down,-21.348893449671785,2023-09-12,1.817641792801994,7.014492756011233
AAP5552143,6.238549241237113,5.331950872713776,down,-14.53219864853639,2023-09-12,1.2011970363883764,6.533147909102152
AAP5552144,6.37721831329114,5.224530954255324,down,-18.075080739096407,2023-09-12,1.5158623666218283,6.7403933208771525
AAPL4001810,5.088567949709864,5.54346380728226,up,8.939565356464046,2023-09-12,-0.44500219203308333,5.098461615249176
AAPL4122386,4.9363648181818185,5.959330548829305,up,20.723057722145207,2023-09-12,-0.972616768455473,4.986713780373832
AAPL4122390,5.425460972959096,5.55187313414083,up,2.329980103290423,2023-09-12,-0.04360157243051965,5.50827156171031
AAPL4208639,5.024264146551725,5.422768361456011,up,7.9315936280497805,2023-09-12,-0.3725818894365469,5.0501864720194645
AAPL4208641,5.330381988304093,5.509010816320453,up,3.351144972504915,2023-09-12,-0.20017595083577433,5.308834865484679
AAPL4242665,5.12363727837515,5.728921545041417,up,11.81356590602018,2023-09-12,-0.5360474639093411,5.192874081132076
AAPL4242667,5.114412608157318,5.471860346883403,up,6.989028185875499,2023-09-12,-0.3415298108664544,5.130330536016949
AAPL4336433,5.117322178235147,5.453962906250168,up,6.578454830278456,2023-09-12,-0.32665465732664956,5.127308248923518
AAPL4336436,4.70720702926337,5.249681598099425,up,11.524340558289548,2023-09-12,-0.5304521805455442,4.719229417553881
AAPL4336441,5.067297689956332,5.289484326505514,up,4.384716473033909,2023-09-12,-0.16097830558675597,5.128506020918758
AAPL4389208,5.017867094674555,5.307873316136178,up,5.779471954715697,2023-09-12,-0.2368894744497183,5.07098384168646
AAPL4389215,5.13179823540894,10.110922009897212,up,97.0249325106504,2023-09-12,-4.977940228149639,5.132981781747573
AAPL4452435,4.917115408577878,5.801105535357462,up,17.977819378358877,2023-09-12,-0.8663060383241428,4.934799497033319
AAPL4452437,4.999886846153846,5.58127929636563,up,11.628112157358512,2023-09-12,-0.5353104044750889,5.045968891890541
AAPL4452439,5.685544813035074,5.404772840782694,down,-4.938347713110328,2023-09-12,0.139704350207154,5.544477190989848
AAPL4492956,4.844239448800001,5.1676251939326185,up,6.675676306891187,2023-09-12,-0.2900459706521943,4.877579223280424
AAPL4492960,5.574050835955057,5.7379150070890725,up,2.9397681498887724,2023-09-12,-0.10655536448220548,5.631359642606867
AAPL4507383,4.811178282051282,5.116242896753683,up,6.340746420486712,2023-09-12,-0.28873251362781804,4.827510383125865
AAPL4538816,4.765462214437368,5.166495927825365,up,8.415421114305182,2023-09-12,-0.3248718142519582,4.841624113573407
AAPL4562446,4.805516548608173,5.14323187062276,up,7.027659120483095,2023-09-12,-0.31913489846806353,4.824096972154696
AAPL4562450,5.271878126381215,5.418549743468768,up,2.782151134215106,2023-09-12,-0.02353945752622355,5.395010285942544
AAPL4562451,5.121365625098039,5.291598946394025,up,3.3239829716849614,2023-09-12,-0.16247442066503837,5.129124525728987
AAPL4880745,5.498818670512148,5.251047705379043,down,-4.505894447143648,2023-09-12,0.07801587109154529,5.329063576470588
AAPL4880746,4.972948612586603,5.27740275919529,up,6.122205764163921,2023-09-12,-0.28612259216328617,4.991280167032004
AAPL4880747,4.767883952261791,4.997216505005339,up,4.809944097627571,2023-09-12,-0.21375339548152983,4.783463109523809
AAPL4880748,5.083097761904762,5.473977887834453,up,7.689801460423189,2023-09-12,-0.4110837837335062,5.0628941041009465
AAPL4984116,5.037383103843009,5.10876665142615,up,1.417076011722877,2023-09-12,-0.03436705704237397,5.074399594383776
AAPL4984119,5.241053976911977,5.819382617893101,up,11.034586621866366,2023-09-12,-0.501768844283788,5.317613773609313
AAPL4984120,4.734165902482269,5.252027976286409,up,10.938823954872571,2023-09-12,-0.521972432365998,4.730055543920411
AAPL5030513,4.9167397407407405,5.20097036735336,up,5.780875978800502,2023-09-12,-0.2609768205368814,4.939993546816479
AAPL5030514,4.829654063636364,5.203548025362841,up,7.741630286558516,2023-09-12,-0.3782727954371241,4.825275229925717
AAPL5030515,5.08149746803653,5.460044489134344,up,7.449517066158895,2023-09-12,-0.342594306907122,5.117450182227222
AAPL5030516,4.748420846880907,5.252027976286409,up,10.60578128276701,2023-09-12,-0.4987459622864092,4.753282014
AAPL5123994,5.1174220089878855,5.331950872713776,up,4.192127664068095,2023-09-12,-0.23103883793341762,5.100912034780358
AAPL5123995,4.804262120967741,5.366363224997405,up,11.700050702405013,2023-09-12,-0.5382268674555064,4.828136357541899
AAPL5123996,4.710361523500045,5.193962427744072,up,10.266747081542194,2023-09-12,-0.4536247195060863,4.740337708237986
AAPL5123997,4.973477758823529,5.344760214143991,up,7.465248128671406,2023-09-12,-0.3454363292955085,4.999323884848483
AAPL5123998,5.059489862617498,5.10876665142615,up,0.9739477723384347,2023-09-12,-0.061477961285304694,5.047288690140845
AAPL5123999,5.059086469460227,5.0875153466706085,up,0.5619369698856866,2023-09-12,-0.030282525677931105,5.057232820992677
AAPL5231623,4.72079516399417,5.2294159523308394,up,10.774049088508544,2023-09-12,-0.4501482442819249,4.7792677080489145
AAPL5231624,4.71534711467522,5.169699003675612,up,9.635597930560555,2023-09-12,-0.3870891849621616,4.782609818713451
AAPL5231843,5.080492365156419,5.1158689296930255,up,0.6963215766099674,2023-09-12,-0.03413596919432926,5.081732960498696
AAPL5231844,5.087332490533937,5.0875153466706085,up,0.003594342162846711,2023-09-12,0.0032352722093493824,5.090750618879958
AAPL5455692,4.725198102803739,5.324197326267531,up,12.676700752681052,2023-09-12,-0.5643242585384467,4.759873067729084
AAPL5455693,4.691110295898812,5.025812223274149,up,7.134812576629216,2023-09-12,-0.3279977338780231,4.697814489396126
AAPL5455705,5.112397946914057,5.038401207237072,down,-1.447397883446272,2023-09-12,0.06705066822192407,5.105451875458996
AAPL5455706,5.19450914981369,5.297218580021624,up,1.9772692134273566,2023-09-12,-0.10395030547180362,5.19326827454982
AAPL5584758,5.089852755910544,5.113086952511157,up,0.4564807218368382,2023-09-12,-0.016131003189516768,5.09695594932164
AAPL5584911,4.959531242424243,5.392163002317254,up,8.723238926135666,2023-09-12,-0.4625334177276397,4.929629584589614
AAPL5584912,4.6792042581888245,5.205695439830157,up,11.251724707677555,2023-09-12,-0.5047152534306418,4.700980186399515
AAPL5584913,4.663037451928613,5.161566903434724,up,10.691088301251398,2023-09-12,-0.4954837323928869,4.666083171041837
AAPL5584914,4.694508470948012,4.829919446047177,up,2.884454803674478,2023-09-12,-0.10698925906097223,4.722930186986205
ABB3852142,5.659661666666667,5.601576193919665,down,-1.0263064502442587,2023-09-12,0.05789030608033485,5.6594665
ABBV4036937,5.597543166666666,5.4122766737003944,down,-3.3097823000192745,2023-09-12,0.19367385310613372,5.605950526806528
ABBV4241910,5.632052968485617,6.359293608134398,up,12.912531961579301,2023-09-12,-0.6621571409101232,5.697136467224275
