bond_sym_id,previous yield,volume_weighted_yield_predicted,direction,percentage_change,trd_exctn_dt,error,volume_weighted_yield_actual
A4404722,5.484954666666666,5.938333069240271,up,8.265855054899369,2023-09-12,-0.3223277637647666,5.616005305475505
A4881169,5.366766390243902,5.888926962967461,up,9.729519318612045,2023-09-12,-0.48800128439603263,5.400925678571428
A4996671,5.478077,5.884913258226679,up,7.426625405715899,2023-09-12,-0.3438215915600127,5.5410916666666665
A5143230,5.435136788417211,5.999314683025368,up,10.380196793031477,2023-09-12,-0.5508467755919879,5.44846790743338
AA.GI,6.23795385326087,5.910394355727719,down,-5.251072791471837,2023-09-12,0.2380050371721616,6.148399392899881
AA.HO,6.344836006464123,5.849926513503616,down,-7.8001936134565755,2023-09-12,0.5058605400506142,6.35578705355423
AA.HQ,6.158208009060224,6.052009051253455,down,-1.7245107286165795,2023-09-12,0.1270869023050505,6.179095953558505
AA4165125,6.2427147969881585,6.150425557211925,down,-1.4783510504237545,2023-09-12,0.12149956959966968,6.2719251268115945
AA4979362,6.285333311099796,5.981485955119507,down,-4.834228209404576,2023-09-12,0.2587226177642261,6.240208572883733
AA5243241,6.123338916666665,5.896242664393681,down,-3.7086997039289598,2023-09-12,0.23677257543501362,6.133015239828695
AAGH4973989,6.847397616853933,6.149377795088555,down,-10.193943171158887,2023-09-12,0.7449432049114444,6.894321
AAGI4343522,,no data prior to target date,N/A,N/A,,N/A,5.61602
AAGI5043576,5.834992999999999,5.77626242738558,down,-1.0065234459478996,2023-09-12,0.26949357261441964,6.045756
AAL5005428,0.411168219858156,6.0390061374719295,up,1368.7434110436002,2023-09-12,-5.7249811374719295,0.314025
AAL5291551,5.9354059999999995,5.8652522886746885,down,-1.1819530344733118,2023-09-12,0.15541671132531132,6.020669
AAP5009293,6.566590317870346,6.442636235905899,down,-1.8876475608219077,2023-09-12,0.4851671292471549,6.9278033651530535
AAP5049981,6.258401534508075,5.917442912316441,down,-5.448014485993411,2023-09-12,0.7542498798031216,6.671692792119563
AAP5372191,6.60747342427257,5.9605001462365825,down,-9.791538103798182,2023-09-12,1.0539926097746504,7.014492756011233
