bond_sym_id,previous yield,volume_weighted_yield_predicted,direction,percentage_change,trd_exctn_dt,error,volume_weighted_yield_actual
A4404722,5.484954666666666,5.42232,down,-1.141937926647023,2023-09-12,N/A,5.616005305475505
A4881169,5.366766390243902,5.964014,up,11.128631650271652,2023-09-12,N/A,5.400925678571428
A4996671,5.478077,5.5118704,up,0.6168840674621539,2023-09-12,N/A,5.5410916666666665
A5143230,5.435136788417211,5.392355,down,-0.7871342502073133,2023-09-12,N/A,5.44846790743338
AA.GI,6.23795385326087,5.5419955,down,-11.156836749232326,2023-09-12,N/A,6.148399392899881
AA.HO,6.344836006464123,5.3629937,down,-15.474667718286467,2023-09-12,N/A,6.35578705355423
AA.HQ,6.158208009060224,5.6570287,down,-8.138395670356072,2023-09-12,N/A,6.179095953558505
AA4165125,6.2427147969881585,5.7610884,down,-7.715015684260748,2023-09-12,N/A,6.2719251268115945
AA4979362,6.285333311099796,5.654348,down,-10.039012782497286,2023-09-12,N/A,6.240208572883733
AA5243241,6.123338916666665,5.6245728,down,-8.14533001599601,2023-09-12,N/A,6.133015239828695
AAGH4973989,6.847397616853933,6.1316237,down,-10.453224888351073,2023-09-12,N/A,6.894321
AAGI4343522,,no data prior to target date,N/A,N/A,,N/A,5.61602
AAGI5043576,5.834992999999999,5.561726,down,-4.683243093997931,2023-09-12,N/A,6.045756
AAL5005428,0.411168219858156,5.018458,up,1120.5364245534695,2023-09-12,N/A,0.314025
AAL5291551,5.9354059999999995,6.2930946,up,6.026354979082579,2023-09-12,N/A,6.020669
AAP5009293,6.566590317870346,6.2052217,down,-5.503140098481498,2023-09-12,N/A,6.9278033651530535
AAP5049981,6.258401534508075,5.2537894,down,-16.052215634815443,2023-09-12,N/A,6.671692792119563
AAP5372191,6.60747342427257,4.9402995,down,-25.23164008791003,2023-09-12,N/A,7.014492756011233
AAP5552143,6.238549241237113,5.4366927,down,-12.853253144908116,2023-09-12,N/A,6.533147909102152
AAP5552144,6.37721831329114,5.406225,down,-15.225966261805118,2023-09-12,N/A,6.7403933208771525
AAPL4001810,5.088567949709864,5.518782,up,8.454523814290985,2023-09-12,N/A,5.098461615249176
AAPL4122386,4.9363648181818185,5.644956,up,14.354516325783468,2023-09-12,N/A,4.986713780373832
AAPL4122390,5.425460972959096,5.0561604,down,-6.806804524408667,2023-09-12,N/A,5.50827156171031
AAPL4208639,5.024264146551725,5.207886,up,3.6547057860991936,2023-09-12,N/A,5.0501864720194645
AAPL4208641,5.330381988304093,5.783362,up,8.498076206611756,2023-09-12,N/A,5.308834865484679
AAPL4242665,5.12363727837515,5.654963,up,10.370088850305152,2023-09-12,N/A,5.192874081132076
AAPL4242667,5.114412608157318,5.249906,up,2.6492476321994127,2023-09-12,N/A,5.130330536016949
AAPL4336433,5.117322178235147,5.396631,up,5.458100468256008,2023-09-12,N/A,5.127308248923518
AAPL4336436,4.70720702926337,5.2215776,up,10.927299604353038,2023-09-12,N/A,4.719229417553881
AAPL4336441,5.067297689956332,5.3236885,up,5.059714917320273,2023-09-12,N/A,5.128506020918758
AAPL4389208,5.017867094674555,5.3389626,up,6.399042744632734,2023-09-12,N/A,5.07098384168646
AAPL4389215,5.13179823540894,7.8623886,up,53.20923095904432,2023-09-12,N/A,5.132981781747573
AAPL4452435,4.917115408577878,5.635447,up,14.608801238792749,2023-09-12,N/A,4.934799497033319
AAPL4452437,4.999886846153846,5.2368097,up,4.73856492488809,2023-09-12,N/A,5.045968891890541
AAPL4452439,5.685544813035074,5.523757,down,-2.845599453690911,2023-09-12,N/A,5.544477190989848
AAPL4492956,4.844239448800001,5.029327,up,3.8207745281215484,2023-09-12,N/A,4.877579223280424
AAPL4492960,5.574050835955057,5.5999846,up,0.4652596585801583,2023-09-12,N/A,5.631359642606867
AAPL4507383,4.811178282051282,4.862051,up,1.0573860517774065,2023-09-12,N/A,4.827510383125865
AAPL4538816,4.765462214437368,5.000396,up,4.929921796299002,2023-09-12,N/A,4.841624113573407
AAPL4562446,4.805516548608173,4.9986525,up,4.019045770192657,2023-09-12,N/A,4.824096972154696
AAPL4562450,5.271878126381215,5.4347334,up,3.089131814560357,2023-09-12,N/A,5.395010285942544
AAPL4562451,5.121365625098039,4.995873,down,-2.4503747611240856,2023-09-12,N/A,5.129124525728987
AAPL4880745,5.498818670512148,5.3906403,down,-1.9673027645592467,2023-09-12,N/A,5.329063576470588
AAPL4880746,4.972948612586603,5.2164717,up,4.896955075207128,2023-09-12,N/A,4.991280167032004
AAPL4880747,4.767883952261791,5.0935974,up,6.831404939985426,2023-09-12,N/A,4.783463109523809
AAPL4880748,5.083097761904762,5.212867,up,2.5529515133444978,2023-09-12,N/A,5.0628941041009465
AAPL4984116,5.037383103843009,4.9092493,down,-2.543657996155948,2023-09-12,N/A,5.074399594383776
AAPL4984119,5.241053976911977,5.69406,up,8.64341168530254,2023-09-12,N/A,5.317613773609313
AAPL4984120,4.734165902482269,5.1086936,up,7.911165449911292,2023-09-12,N/A,4.730055543920411
AAPL5030513,4.9167397407407405,5.071002,up,3.1374909782550446,2023-09-12,N/A,4.939993546816479
AAPL5030514,4.829654063636364,5.091933,up,5.430589986319798,2023-09-12,N/A,4.825275229925717
AAPL5030515,5.08149746803653,5.3272586,up,4.836391642284452,2023-09-12,N/A,5.117450182227222
AAPL5030516,4.748420846880907,5.1540837,up,8.54311138356331,2023-09-12,N/A,4.753282014
AAPL5123994,5.1174220089878855,5.3222957,up,4.003454403276796,2023-09-12,N/A,5.100912034780358
AAPL5123995,4.804262120967741,5.20636,up,8.369604575874238,2023-09-12,N/A,4.828136357541899
AAPL5123996,4.710361523500045,5.033102,up,6.85171425616187,2023-09-12,N/A,4.740337708237986
AAPL5123997,4.973477758823529,5.1169534,up,2.8848146325224944,2023-09-12,N/A,4.999323884848483
AAPL5123998,5.059489862617498,4.9092493,down,-2.9694803423259324,2023-09-12,N/A,5.047288690140845
AAPL5123999,5.059086469460227,4.9062815,down,-3.0204069278161367,2023-09-12,N/A,5.057232820992677
AAPL5231623,4.72079516399417,5.0226593,up,6.394349411005608,2023-09-12,N/A,4.7792677080489145
AAPL5231624,4.71534711467522,5.0080156,up,6.206722661908057,2023-09-12,N/A,4.782609818713451
AAPL5231843,5.080492365156419,4.9092493,down,-3.3705996805695313,2023-09-12,N/A,5.081732960498696
AAPL5231844,5.087332490533937,5.111089,up,0.46697830531044915,2023-09-12,N/A,5.090750618879958
AAPL5455692,4.725198102803739,5.649088,up,19.552403581383228,2023-09-12,N/A,4.759873067729084
AAPL5455693,4.691110295898812,5.018138,up,6.971220357168346,2023-09-12,N/A,4.697814489396126
AAPL5455705,5.112397946914057,5.05775,down,-1.0689254321429493,2023-09-12,N/A,5.105451875458996
AAPL5455706,5.19450914981369,5.284493,up,1.7322872499411515,2023-09-12,N/A,5.19326827454982
AAPL5584758,5.089852755910544,5.17088,up,1.5919337714866841,2023-09-12,N/A,5.09695594932164
AAPL5584911,4.959531242424243,5.8485885,up,17.926234975898026,2023-09-12,N/A,4.929629584589614
AAPL5584912,4.6792042581888245,5.2506213,up,12.211842636027438,2023-09-12,N/A,4.700980186399515
AAPL5584913,4.663037451928613,5.2301197,up,12.161220215742414,2023-09-12,N/A,4.666083171041837
AAPL5584914,4.694508470948012,5.018138,up,6.8937879839497755,2023-09-12,N/A,4.722930186986205
ABB3852142,5.659661666666667,5.7209864,up,1.0835400279576088,2023-09-12,N/A,5.6594665
ABBV4036937,5.597543166666666,5.4278684,down,-3.031237015475351,2023-09-12,N/A,5.605950526806528
ABBV4241910,5.632052968485617,6.3589287,up,12.906052482133386,2023-09-12,N/A,5.697136467224275
ABBV4241923,5.3372937714899535,5.6442275,up,5.750737103507566,2023-09-12,N/A,5.335661266903914
ABBV4241924,5.608190516483516,5.6467533,up,0.6876156321788172,2023-09-12,N/A,5.659056509652508
ABBV4362386,5.283188040117417,5.877652,up,11.251996401462499,2023-09-12,N/A,5.353223096344574
ABBV4362395,5.375290302207132,5.4266424,up,0.9553366016249842,2023-09-12,N/A,5.3729149591836745
ABBV4362396,5.612612684210526,5.4648056,down,-2.6334808671012517,2023-09-12,N/A,5.611172081560285
ABBV4693581,5.122240854769815,5.3511453,up,4.468833450180356,2023-09-12,N/A,5.144302046109511
ABBV4693582,5.761173843530429,5.359037,down,-6.980121273847323,2023-09-12,N/A,5.75739722577372
ABBV4693583,5.548118045112782,5.3976192,down,-2.7126098697346452,2023-09-12,N/A,5.56775639681208
ABBV5066461,5.75375764186605,5.9662175,up,3.6925412784301463,2023-09-12,N/A,5.748373820969066
ABBV5068386,5.513635845896148,6.873053,up,24.655549731285507,2023-09-12,N/A,5.5150654823029726
ABBV5068387,5.504497651456552,5.0790834,down,-7.728483790995785,2023-09-12,N/A,5.510708254341117
ABBV5068389,5.650026543689321,5.4570265,down,-3.415914254004171,2023-09-12,N/A,5.669231160278746
ABBV5068390,5.668225343362831,5.499703,down,-2.9731071491312853,2023-09-12,N/A,5.6779876666666675
ABBV5082874,5.348606969837474,5.2499013,down,-1.8454464066224148,2023-09-12,N/A,5.350733794421004
ABBV5083839,5.668541563046648,5.43354,down,-4.145717077872485,2023-09-12,N/A,5.7197881695992185
ABBV5084327,5.261472597007836,6.3228674,up,20.172960647736225,2023-09-12,N/A,5.283343665678479
ABBV5084339,5.310362169245493,5.5355964,up,4.241409423183098,2023-09-12,N/A,5.369041550067889
ABBV5087645,5.861592350177094,5.865676,up,0.0696666671348848,2023-09-12,N/A,5.903741317569684
ABC4127448,5.794869076923075,6.0940456,up,5.162783803113385,2023-09-12,N/A,5.731644813333336
ABC4213750,5.626759,5.6794934,up,0.9372078540525991,2023-09-12,N/A,5.645129
ABC4213751,5.982955,6.120084,up,2.2919913136389325,2023-09-12,N/A,5.943869417112299
ABC4571977,5.197937066651806,5.537644,up,6.53541661714188,2023-09-12,N/A,5.207446933333333
ABC4571978,5.682257378787879,5.527313,down,-2.7268061975583437,2023-09-12,N/A,5.76595822533137
ABC4987224,5.436379,5.467145,up,0.5659275434160984,2023-09-12,N/A,5.4483766666666655
ABG5064855,6.856057109704641,5.8166676,down,-15.160164746450347,2023-09-12,N/A,6.880296751031636
ABG5064856,7.288209629370629,5.824629,down,-20.081486041736714,2023-09-12,N/A,7.271898546111346
ABS3702072,6.445318,6.0549817,down,-6.056121536181597,2023-09-12,N/A,6.6028325
ABS3702077,6.489451028571429,5.870019,down,-9.545215254708204,2023-09-12,N/A,6.538837000000001
ABS3706771,7.106553999999999,5.9519877,down,-16.246499451384086,2023-09-12,N/A,6.404264333333334
ABS3706781,7.591016,5.7576585,down,-24.151675064340523,2023-09-12,N/A,7.396642135135138
ABT.GW,5.203278,5.898821,up,13.36739795711848,2023-09-12,N/A,5.204524
ABT.GX,4.909692857142857,5.965791,up,21.510477315378907,2023-09-12,N/A,5.229948823529412
ABT.HB,5.159388545454546,5.898821,up,14.331782247183023,2023-09-12,N/A,5.153771470588235
ABT4219949,5.341149591666665,5.8380117,up,9.302532000727522,2023-09-12,N/A,5.366498890338165
ABT4427938,5.737416098039217,5.49004,down,-4.31163207221986,2023-09-12,N/A,5.397552350282488
ABT4427939,4.940406401952809,5.669969,up,14.767260435041873,2023-09-12,N/A,4.957986407227617
ABT4427940,4.993692552980133,5.550239,up,11.144989950149304,2023-09-12,N/A,4.992747616048317
ABT4427941,5.244300378378377,6.697175,up,27.70387931155876,2023-09-12,N/A,5.238147940972222
ABT4466215,5.1850302313043475,5.650921,up,8.985302222594271,2023-09-12,N/A,5.184964405405405
ABT4466374,5.227514298809017,5.558161,up,6.325118673069259,2023-09-12,N/A,5.169103136363636
ABT5005071,4.786033421276596,5.8553243,up,22.341900963559365,2023-09-12,N/A,4.8033647766277126
ABT5005072,4.768989,5.2775245,up,10.663381091526078,2023-09-12,N/A,4.745311350364964
ABX.GB,6.051342814356436,5.546763,down,-8.338312446809804,2023-09-12,N/A,6.209382536467485
ABX.GQ,5.852004888661998,5.440931,down,-7.024499349020787,2023-09-12,N/A,5.857306190476191
ACE.GD,6.049707333333333,5.7576585,down,-4.827487275727709,2023-09-12,N/A,6.271811
ACHN4899048,5.361732,5.535934,up,3.2489869207381,2023-09-12,N/A,5.260114000000001
ACM4502954,6.453985484521239,5.5542517,down,-13.940747400837699,2023-09-12,N/A,6.48701657783019
ACOR5104777,,no data prior to target date,N/A,N/A,,N/A,42.1498335
ACT4176287,6.700126,5.920226,down,-11.640078155143147,2023-09-12,N/A,7.056976999999999
ACT4218879,7.135194666666667,6.968786,down,-2.3322265425666746,2023-09-12,N/A,6.7901869999999995
ADBE4204134,5.31298037912088,5.666953,up,6.662413230871331,2023-09-12,N/A,5.358901978233035
ADBE4939807,5.255504000000001,6.68197,up,27.142327728726244,2023-09-12,N/A,5.465813583963691
ADBE4939808,4.882498560338743,5.5494056,up,13.659133867999977,2023-09-12,N/A,4.929117602545968
ADBE4939809,4.9270903259151755,5.6464868,up,14.600837120577696,2023-09-12,N/A,4.92237559193357
ADI4432502,5.0809323636363635,5.5494056,up,9.22022136163489,2023-09-12,N/A,5.1677836579292284
ADI4974267,5.3786627311999995,5.588197,up,3.895661627513447,2023-09-12,N/A,5.3957516666666665
ADI5271547,4.988712289356984,5.4344068,up,8.934058373111743,2023-09-12,N/A,5.0493326390532545
ADI5271548,5.024296023376624,5.467246,up,8.816161113228254,2023-09-12,N/A,5.041411026702271
ADI5271549,5.446767,5.7363563,up,5.316718310005433,2023-09-12,N/A,5.450533347394541
ADI5271550,5.306932251193888,5.300623,down,-0.11888810393220527,2023-09-12,N/A,5.279692896918982
ADM.GL,5.155163666666667,5.512864,up,6.93868263582457,2023-09-12,N/A,5.165965857142855
ADM.GM,,no data prior to target date,N/A,N/A,,N/A,4.441895333333333
ADM.GP,5.31354,5.4677653,up,2.902496852725506,2023-09-12,N/A,5.303527001364257
ADM4392331,4.895726874999999,5.599768,up,14.380730476793241,2023-09-12,N/A,4.976707158038146
ADM4540771,5.423946523809524,5.548803,up,2.301946161766329,2023-09-12,N/A,5.411857699999999
ADM4773867,5.37018827586207,5.346056,down,-0.44937514525271605,2023-09-12,N/A,5.293083
ADM4971157,4.976141166666666,5.421856,up,8.957036083153834,2023-09-12,N/A,4.996351922779923
ADM5367929,5.040589717472121,5.409629,up,7.321348717427087,2023-09-12,N/A,5.105522210065645
ADM5564429,5.094215575043631,5.308847,up,4.213237000390133,2023-09-12,N/A,5.123664598024316
ADP4287440,5.136194187179488,5.4452705,up,6.017614207852177,2023-09-12,N/A,5.248440822931785
ADP5029293,4.869965499999999,5.6204114,up,15.40967581857843,2023-09-12,N/A,4.876127872093023
ADP5183440,4.831098386255924,5.3346605,up,10.423346899061313,2023-09-12,N/A,4.858648326424871
ADSK4504222,5.357128635135136,5.312087,down,-0.8407783195410174,2023-09-12,N/A,5.312950327868853
ADSK4933609,5.3642368479776845,5.584896,up,4.1135252958114314,2023-09-12,N/A,5.477312413407822
ADSK5275354,5.352625863514527,5.4662437,up,2.122656865603452,2023-09-12,N/A,5.325524254810882
ADVO4664869,5.409308,5.4315157,up,0.410545926845921,2023-09-12,N/A,5.4607631972789115
AEE.IA,5.887519999999999,5.5630183,down,-5.511687060239841,2023-09-12,N/A,5.8329055
AEE3899397,5.837984,5.6165447,down,-3.793077824284161,2023-09-12,N/A,5.857214037037037
AEE4504577,5.226955276150628,5.435259,up,3.9851802474044087,2023-09-12,N/A,5.208241099310345
AEE4618395,5.785225277777776,5.7688704,down,-0.2827015940393628,2023-09-12,N/A,5.742897000000001
AEE4633269,5.0694894509803925,5.7260528,up,12.951270861615367,2023-09-12,N/A,5.09902
AEE4764901,5.461025000000001,5.5317974,up,1.2959546798928048,2023-09-12,N/A,5.509882
AEE4883511,6.023910233582089,5.78319,down,-3.9960831202389135,2023-09-12,N/A,6.121355198441248
AEE4914049,5.517627,5.667268,up,2.7120499333760937,2023-09-12,N/A,5.502073566666666
AEE4972837,5.655777446976336,5.7126503,up,1.0055708985920984,2023-09-12,N/A,5.637399306049822
AEE5077433,5.373046999999999,5.7822213,up,7.615312452901697,2023-09-12,N/A,5.414953
AEE5139512,5.43485218367347,5.6672125,up,4.275374835246497,2023-09-12,N/A,5.400633333333333
AEE5200475,,no data prior to target date,N/A,N/A,,N/A,5.369290838560885
AEE5302941,5.263928,5.6773663,up,7.854177654289102,2023-09-12,N/A,5.250123761904762
AEE5383965,5.531962,5.5960784,up,1.1590172861546375,2023-09-12,N/A,5.521713
AEE5501155,5.623360264462809,5.6656494,up,0.7520263260908274,2023-09-12,N/A,5.60288
AEE5548628,5.671226801601424,5.60802,down,-1.1145202795837634,2023-09-12,N/A,5.700709894736843
AEE5592042,5.395519098039216,5.7297535,up,6.194666169283755,2023-09-12,N/A,5.405145999999999
AEP.JQ,5.879952000000001,5.708587,down,-2.914391654094869,2023-09-12,N/A,6.084011333333334
AEP.KS,6.163745555555555,5.888601,down,-4.463920952157598,2023-09-12,N/A,6.231777799999997
AEP.KY,6.1299160207692305,5.811187,down,-5.19956927995443,2023-09-12,N/A,6.128810142857144
AEP.LF,6.104419599999998,5.738914,down,-5.987556738253424,2023-09-12,N/A,6.0399769333333335
AEP.LH,5.975041466666667,5.7249417,down,-4.185740593812551,2023-09-12,N/A,5.991913157894737
AEP.LJ,6.151129970588236,5.8779936,down,-4.440426201609202,2023-09-12,N/A,6.166413428571427
AEP.LL,5.980998460317459,5.8084226,down,-2.88540276347261,2023-09-12,N/A,5.956190377952757
AEP3704185,5.784882266666665,5.6843324,down,-1.7381493913539399,2023-09-12,N/A,5.824459136363636
AEP4225317,6.1811665978260875,5.870954,down,-5.0186733556500895,2023-09-12,N/A,6.2034925
AEP4245049,5.776144333333333,6.451785,up,11.697089187212423,2023-09-12,N/A,5.860732555555556
AEP4408776,5.5552419516129055,5.881618,up,5.875100925370782,2023-09-12,N/A,5.598386676300577
AEP4427269,5.243611454545455,5.929587,up,13.082117902147807,2023-09-12,N/A,5.269955
AEP4494997,5.337562285714285,5.639141,up,5.650122301271256,2023-09-12,N/A,5.4878678
AEP4543470,6.101378,5.7277555,down,-6.123574927338974,2023-09-12,N/A,6.108218769230769
AEP4563780,5.346176,5.5844703,up,4.457284460223703,2023-09-12,N/A,5.3445210535714285
AEP4621212,5.585159,5.742717,up,2.8210081260999997,2023-09-12,N/A,5.554004206896551
AEP4628426,5.241206666666666,5.711091,up,8.965194558853666,2023-09-12,N/A,5.23608
AEP4664067,5.799490333333333,5.6332192,down,-2.8669948854250302,2023-09-12,N/A,5.855537315789475
AEP4687615,5.500651751870322,5.727294,up,4.120279315142958,2023-09-12,N/A,5.5478118400000005
AEP4773531,5.50360208621697,5.5789576,up,1.3692027563179021,2023-09-12,N/A,5.5179758992248065
AEP4794624,5.601525622149837,5.5640864,down,-0.6683747866197621,2023-09-12,N/A,5.604066857142858
AEP4845237,5.594057,5.682012,up,1.5722950471587962,2023-09-12,N/A,5.584500555555555
AEP4961681,5.730926666666667,5.838409,up,1.8754782005754713,2023-09-12,N/A,5.777076666666668
AEP4961682,6.015315666666666,5.6001215,down,-6.9022839625776795,2023-09-12,N/A,5.983034000000001
AEP5082163,5.665475418867924,5.834095,up,2.976265359676956,2023-09-12,N/A,5.69009057712766
AEP5145676,5.658256379310345,5.927257,up,4.75412677795772,2023-09-12,N/A,5.717776
AEP5146510,5.675660143884893,5.8032017,up,2.2471664669274225,2023-09-12,N/A,5.686546325443787
AEP5179396,5.926378,5.60807,down,-5.371039500045419,2023-09-12,N/A,5.946951
AEP5239006,5.583922,5.9116426,up,5.869003030882574,2023-09-12,N/A,5.531701
AEP5256223,5.588047,5.6866302,up,1.7641807419199778,2023-09-12,N/A,5.593657
AEP5294411,5.959873882666668,5.6547103,down,-5.120302809393748,2023-09-12,N/A,5.958463264604811
AEP5334385,6.068987592592593,6.0273304,down,-0.6863944504329916,2023-09-12,N/A,5.878245782258064
AEP5415149,5.628169285714286,5.7149787,up,1.542409348308515,2023-09-12,N/A,5.673697176470589
AEP5454477,5.6386094,5.701331,up,1.112361828269925,2023-09-12,N/A,5.732083470715835
AEP5458042,5.736435737384139,6.07396,up,5.883864223202657,2023-09-12,N/A,5.75319788372093
AEP5497571,5.413594623762377,5.7676716,up,6.540514869112093,2023-09-12,N/A,5.452689315515611
AEP5497572,5.705387632768362,5.701331,down,-0.07109936114111158,2023-09-12,N/A,5.731287321585903
AEP5522215,5.607176666666667,5.8255987,up,3.895401608578527,2023-09-12,N/A,5.651528545531198
AEP5548720,5.780687300983327,5.643656,down,-2.370505735234593,2023-09-12,N/A,5.786729608275328
AEP5554199,5.587397388888888,5.6290007,up,0.7445913002566852,2023-09-12,N/A,5.573978
AEP5558540,5.715569008,5.709179,down,-0.11180135224522939,2023-09-12,N/A,5.72792831336578
AEP5563957,5.755546020009307,5.643465,down,-1.947356124082696,2023-09-12,N/A,5.765133
AEP5584303,5.525818482972135,5.7401266,up,3.8783055847835652,2023-09-12,N/A,5.557037
AER4519766,6.108402660056658,5.587666,down,-8.524923033697679,2023-09-12,N/A,6.122976
AER4566810,6.220953,6.0560527,down,-2.650724337831586,2023-09-12,N/A,6.284694
AER4667191,6.2174309999999995,5.7827806,down,-6.990835165234122,2023-09-12,N/A,6.253313157337368
AER4786976,6.132535909871245,5.523152,down,-9.936901214848374,2023-09-12,N/A,6.15211
AER4814500,6.1059915,5.9035077,down,-3.3161492363169223,2023-09-12,N/A,5.94030084
AER4997733,6.200044942028986,6.250507,up,0.8138962917528544,2023-09-12,N/A,6.30382
AER5050847,6.146977796158192,5.7860546,down,-5.87155504576105,2023-09-12,N/A,6.162730981884057
AER5050850,6.655564420489296,6.056984,down,-8.993684606111646,2023-09-12,N/A,6.676842
AER5107540,6.1845345,6.09354,down,-1.4713202481061298,2023-09-12,N/A,6.1864444999999995
AER5286239,6.03021188423962,5.888564,down,-2.348968446823237,2023-09-12,N/A,6.132030909090909
AER5286240,6.1241468359375,6.0073004,down,-1.9079630547023485,2023-09-12,N/A,6.135979269858781
AER5286241,6.331948312071036,5.924528,down,-6.43435748434807,2023-09-12,N/A,6.310667588112618
AER5286242,6.266294636363637,5.907655,down,-5.723316487775156,2023-09-12,N/A,6.274595228699551
AER5286244,6.3225616296296305,6.2792654,down,-0.6847893056379458,2023-09-12,N/A,6.4199437774999994
AER5286245,6.227800820058998,6.1785665,down,-0.7905577850106477,2023-09-12,N/A,6.144764666666667
AER5286246,6.182519307046553,5.895637,down,-4.64021634917831,2023-09-12,N/A,6.17019479776602
AER5286247,6.393491,6.089007,down,-4.762407567519005,2023-09-12,N/A,6.384393418604651
AER5596397,6.084093608695652,5.923856,down,-2.633717320053354,2023-09-12,N/A,6.117976764705882
AES3671691,9.374435,6.012898,down,-35.85855608052926,2023-09-12,N/A,9.828806333333333
AES4819839,7.612911166666667,6.058516,down,-20.41788098000426,2023-09-12,N/A,7.7420167999999965
AES5179394,6.679344913621263,6.5236588,down,-2.330859735396563,2023-09-12,N/A,6.70919562275449
AES5186582,6.239154935647144,5.917617,down,-5.1535519599425825,2023-09-12,N/A,6.226006999999999
AES5225396,6.140382784559298,5.808207,down,-5.409691238303502,2023-09-12,N/A,6.175604182432433
AES5225397,6.082958874999999,6.2621365,up,2.945566261954825,2023-09-12,N/A,6.056385142857143
AES5588225,6.024370266973657,5.7892814,down,-3.9022983033899483,2023-09-12,N/A,6.070162477272726
AFG4502082,6.3593736,5.9292803,down,-6.763139673585227,2023-09-12,N/A,6.350563500000001
AFG4971805,5.76519,5.967508,up,3.5093004602256173,2023-09-12,N/A,5.8385205
AFL.GD,6.013743,6.0827327,up,1.147200295385369,2023-09-12,N/A,6.358493721804514
AFL.GF,6.015719000000001,6.1086707,up,1.545147163910636,2023-09-12,N/A,6.053162350906097
AFL4404389,5.879594,6.907025,up,17.47452052611252,2023-09-12,N/A,5.889001
AFL4972576,5.40436626984127,5.967508,up,10.420122198308201,2023-09-12,N/A,5.383511990384615
AFL5143253,5.476431489361701,6.236122,up,13.872001201178175,2023-09-12,N/A,5.5828809999999995
AGO.GA,6.1024611875,6.041435,down,-1.0000296726662268,2023-09-12,N/A,5.936434666666667
AGO4136090,4.990465000000001,6.5489206,up,31.228665693651585,2023-09-12,N/A,4.990389
AGO5188097,5.745964322434151,5.97073,up,3.9117107735797982,2023-09-12,N/A,5.70732825
AGO5242429,6.298578000000001,5.8963265,down,-6.38638527774628,2023-09-12,N/A,6.267027
AGO5636563,6.014699797073653,5.8050838,down,-3.485062471400001,2023-09-12,N/A,6.028313793615048
AGR4566948,6.135555203703704,6.1481624,up,0.20547710577850817,2023-09-12,N/A,5.9854392558139535
AGR4834304,5.871021,6.0933585,up,3.787033238224074,2023-09-12,N/A,5.942707948717949
AGR4974626,6.0608866645569615,6.266855,up,3.3983162839607437,2023-09-12,N/A,6.167399646501841
AGREC5180195,6.057047,5.966024,down,-1.5027632777729332,2023-09-12,N/A,6.085203000000001
AGREC5180197,6.017033999999999,5.930159,down,-1.4438161401537037,2023-09-12,N/A,6.02371958490566
AGREC5463132,6.135171000000001,5.8372755,down,-4.855536951359345,2023-09-12,N/A,6.121667
AHSH5114767,,no data prior to target date,N/A,N/A,,N/A,5.507079
AIG.PK,6.7715890000000005,6.2482195,down,-7.728902476933124,2023-09-12,N/A,5.910725000000001
AIG4055516,5.835071061588332,5.9947505,up,2.7365465896064762,2023-09-12,N/A,5.956928288209608
AIG4143451,5.915255999999999,6.1584544,up,4.1113760449653185,2023-09-12,N/A,5.895393222222223
AIG4201967,5.615752,6.0251894,up,7.290873950972883,2023-09-12,N/A,5.703038800000002
AIG4345460,5.53702233033996,6.148265,up,11.039192514349882,2023-09-12,N/A,5.559723091949778
AIG4611976,5.459161722342733,5.909655,up,8.252061300185693,2023-09-12,N/A,5.480860743589743
AIG4611977,5.833019,5.969276,up,2.3359593271597068,2023-09-12,N/A,5.805755
AIG4808295,5.621196,5.7998424,up,3.1780844794505962,2023-09-12,N/A,5.506957
AIG4984963,5.77945956020408,6.2234344,up,7.681944711495317,2023-09-12,N/A,5.8075814375
AIG4984964,5.662292233766234,5.967508,up,5.390318846783276,2023-09-12,N/A,5.697915
AIG4984965,5.724807,5.887337,up,2.8390513041608085,2023-09-12,N/A,5.752880666666667
AIG5559726,5.770675028310814,5.765198,down,-0.09490739888378143,2023-09-12,N/A,5.798699506602955
AIZ4613421,5.737983657142857,5.9595466,up,3.861337398388271,2023-09-12,N/A,5.786713999999999
AIZ4873343,6.469964,5.9253397,down,-8.417733100346403,2023-09-12,N/A,6.451114285714286
AIZ5201402,6.661608468085106,5.815381,down,-12.703049451636305,2023-09-12,N/A,6.626
AJGG5295094,5.864049,5.8368597,down,-0.46366080733695747,2023-09-12,N/A,5.923832708376422
AJGG5548693,5.7089820625,5.7719326,up,1.1026578598347334,2023-09-12,N/A,5.712442569620253
AJGG5548694,6.060511663763066,5.6395583,down,-6.945838434779775,2023-09-12,N/A,6.060139867119302
