bond_sym_id,volume_weighted_yield_actual,volume_weighted_yield_predicted,direction,percentage_change,trd_exctn_dt,error
A4404722,5.616005305475505,6.130556507767221,up,11.770413437033962,2023-09-12,-0.5145512022917158
A4881169,5.400925678571428,6.291873937329964,up,17.237708516021662,2023-09-12,-0.8909482587585353
A4996671,5.5410916666666665,6.251671599738251,up,14.121645236791144,2023-09-12,-0.7105799330715845
A5143230,5.44846790743338,5.015392498297237,down,-7.722791651067341,2023-09-12,0.4330754091361433
AA.GI,6.148399392899881,6.264150756763756,up,0.4199598797800026,2023-09-12,-0.11575136386387541
AA.HO,6.35578705355423,5.8540812814958665,down,-7.734710943959397,2023-09-12,0.5017057720583633
AA.HQ,6.179095953558505,4.948243564692925,down,-19.64799569269415,2023-09-12,1.2308523888655802
AA4165125,6.2719251268115945,4.221927764064311,down,-32.37032442838475,2023-09-12,2.049997362747283
AA4979362,6.240208572883733,5.854843851527248,down,-6.849111069612032,2023-09-12,0.3853647213564857
AA5243241,6.133015239828695,6.294437857155969,up,2.7942098717352124,2023-09-12,-0.1614226173272737
AAGH4973989,6.894321,4.168090647407565,down,-39.12883579086484,2023-09-12,2.7262303525924345
AAGI4343522,5.61602,no data prior to target date,N/A,N/A,2023-09-12,N/A
AAGI5043576,6.045756,6.18670116631359,up,6.027567921908234,2023-09-12,-0.1409451663135899
AAL5005428,0.314025,5.259617929262757,up,1179.1888271611094,2023-09-12,-4.945592929262757
AAL5291551,6.020669,6.271752572342835,up,5.666782901503876,2023-09-12,-0.25108357234283485
AAP5009293,6.9278033651530535,0.6643575387495622,down,-89.88276249027479,2023-09-12,6.263445826403491
AAP5049981,6.671692792119563,6.228916239951926,down,-0.4711313966285333,2023-09-12,0.4427765521676372
AAP5372191,7.014492756011233,5.295143567859702,down,-19.861296022652486,2023-09-12,1.719349188151531
AAP5552143,6.533147909102152,5.91250853567721,down,-5.2262263701432055,2023-09-12,0.6206393734249422
AAP5552144,6.7403933208771525,5.92371435977995,down,-7.111312977415482,2023-09-12,0.8166789610972023
AAPL4001810,5.098461615249176,5.610562400815326,up,10.258179831031331,2023-09-12,-0.5121007855661492
AAPL4122386,4.986713780373832,6.165621000921879,up,24.902052988717823,2023-09-12,-1.178907220548047
AAPL4122390,5.50827156171031,5.275628235596452,down,-2.761659112643541,2023-09-12,0.23264332611385807
AAPL4208639,5.0501864720194645,6.048179645279931,up,20.379412165877945,2023-09-12,-0.9979931732604665
AAPL4208641,5.308834865484679,6.293194510583855,up,18.062730295734195,2023-09-12,-0.9843596450991763
AAPL4242665,5.192874081132076,6.230807014171827,up,21.609057699490226,2023-09-12,-1.0379329330397509
AAPL4242667,5.130330536016949,5.991904213569852,up,17.15723138983672,2023-09-12,-0.8615736775529035
AAPL4336433,5.127308248923518,4.69276096668027,down,-8.296550359104012,2023-09-12,0.43454728224324857
AAPL4336436,4.719229417553881,6.118467744165649,up,29.98085077050726,2023-09-12,-1.3992383266117683
AAPL4336441,5.128506020918758,6.186616434272785,up,22.089066259813496,2023-09-12,-1.0581104133540267
AAPL4389208,5.07098384168646,6.198708992397488,up,23.532745595756328,2023-09-12,-1.1277251507110275
AAPL4389215,5.132981781747573,4.902378898464376,down,-4.470544756837698,2023-09-12,0.230602883283197
AAPL4452435,4.934799497033319,6.29061335503406,up,27.933002021065512,2023-09-12,-1.355813858000741
AAPL4452437,5.045968891890541,6.1398700286346015,up,22.80017963521886,2023-09-12,-1.0939011367440603
AAPL4452439,5.544477190989848,6.123491400356223,up,7.702807764650496,2023-09-12,-0.5790142093663757
AAPL4492956,4.877579223280424,6.239431861095141,up,28.801062107711306,2023-09-12,-1.3618526378147164
AAPL4492960,5.631359642606867,6.314435027689817,up,13.282695359700696,2023-09-12,-0.6830753850829501
AAPL4507383,4.827510383125865,6.195952858521624,up,28.782441541117297,2023-09-12,-1.3684424753957591
AAPL4538816,4.841624113573407,6.28390977269371,up,31.863594546108835,2023-09-12,-1.4422856591203033
AAPL4562446,4.824096972154696,5.592496934251056,up,16.376603382435896,2023-09-12,-0.7683999620963595
AAPL4562450,5.395010285942544,6.247658612042599,up,18.509162432614715,2023-09-12,-0.8526483261000548
AAPL4562451,5.129124525728987,5.982339234288392,up,16.811406804681535,2023-09-12,-0.8532147085594053
AAPL4880745,5.329063576470588,5.990843070326194,up,8.947820055470562,2023-09-12,-0.6617794938556054
AAPL4880746,4.991280167032004,6.216026602307097,up,24.996799415426203,2023-09-12,-1.224746435275093
AAPL4880747,4.783463109523809,5.979426316583181,up,25.410483486005536,2023-09-12,-1.1959632070593722
AAPL4880748,5.0628941041009465,6.117724466293211,up,20.354255472764095,2023-09-12,-1.0548303621922646
AAPL4984116,5.074399594383776,6.041457225320807,up,19.932455022366508,2023-09-12,-0.9670576309370311
AAPL4984119,5.317613773609313,6.290868187395387,up,20.030593371258487,2023-09-12,-0.9732544137860737
AAPL4984120,4.730055543920411,6.255297927130178,up,32.13094040177874,2023-09-12,-1.5252423832097666
AAPL5030513,4.939993546816479,6.10525320487631,up,24.172795934008736,2023-09-12,-1.1652596580598313
AAPL5030514,4.825275229925717,6.013218574308003,up,24.506196408206186,2023-09-12,-1.187943344382286
AAPL5030515,5.117450182227222,6.250773637148607,up,23.01046446381249,2023-09-12,-1.1333234549213858
AAPL5030516,4.753282014,6.255087939005363,up,31.729855897548333,2023-09-12,-1.501805925005363
AAPL5123994,5.100912034780358,5.859846808763151,up,14.50778924371142,2023-09-12,-0.7589347739827925
AAPL5123995,4.828136357541899,6.27910278326435,up,30.698588569091772,2023-09-12,-1.4509664257224513
AAPL5123996,4.740337708237986,5.637698511857436,up,19.68717228456662,2023-09-12,-0.89736080361945
AAPL5123997,4.999323884848483,6.092982216993297,up,22.509489585705627,2023-09-12,-1.0936583321448143
AAPL5123998,5.047288690140845,6.025412824586436,up,19.091311341598846,2023-09-12,-0.9781241344455909
AAPL5123999,5.057232820992677,5.080967277935875,up,0.43250512929033,2023-09-12,-0.02373445694319809
AAPL5231623,4.7792677080489145,6.221665229094596,up,31.792738573951812,2023-09-12,-1.4423975210456819
AAPL5231624,4.782609818713451,6.203237826228136,up,31.554213833426303,2023-09-12,-1.4206280075146855
AAPL5231843,5.081732960498696,5.992606857008349,up,17.953269610392326,2023-09-12,-0.9108738965096528
AAPL5231844,5.090750618879958,4.338872740670515,down,-14.712223965233056,2023-09-12,0.7518778782094424
AAPL5455692,4.759873067729084,6.283382923299736,up,32.97607394643273,2023-09-12,-1.5235098555706514
AAPL5455693,4.697814489396126,5.95309039637163,up,26.9015226859215,2023-09-12,-1.2552759069755046
AAPL5455705,5.105451875458996,5.624751329182138,up,10.021782098894468,2023-09-12,-0.5192994537231419
AAPL5455706,5.19326827454982,3.154319467838991,down,-39.275889658368854,2023-09-12,2.038948806710829
AAPL5584758,5.09695594932164,5.994957401435855,up,17.782531026546216,2023-09-12,-0.8980014521142143
AAPL5584911,4.929629584589614,6.304665731680878,up,27.122210215155874,2023-09-12,-1.3750361470912633
AAPL5584912,4.700980186399515,6.117981967877165,up,30.74834160467377,2023-09-12,-1.4170017814776505
AAPL5584913,4.666083171041837,6.184356847018778,up,32.62507347996859,2023-09-12,-1.5182736759769409
AAPL5584914,4.722930186986205,5.965692454322271,up,27.078106073106213,2023-09-12,-1.242762267336066
ABB3852142,5.6594665,6.169416700966145,up,9.006811083809982,2023-09-12,-0.509950200966145
ABBV4036937,5.605950526806528,6.115856369133051,up,9.259655299363063,2023-09-12,-0.509905842326523
ABBV4241910,5.697136467224275,5.758475077198252,up,2.244689625968279,2023-09-12,-0.06133860997397722
ABBV4241923,5.335661266903914,1.265725677286781,down,-76.28525369827184,2023-09-12,4.069935589617133
ABBV4241924,5.659056509652508,6.148550023619697,up,9.635184567071384,2023-09-12,-0.4894935139671883
ABBV4362386,5.353223096344574,5.95194008729161,up,12.658115556290708,2023-09-12,-0.598716990947036
ABBV4362395,5.3729149591836745,6.023030883816647,up,12.050336729600412,2023-09-12,-0.6501159246329724
ABBV4362396,5.611172081560285,6.116398131557412,up,8.975952478676144,2023-09-12,-0.5052260499971277
ABBV4693581,5.144302046109511,5.9187348074191855,up,15.549716915550313,2023-09-12,-0.7744327613096749
ABBV4693582,5.75739722577372,4.096688832042053,down,-28.891421378605447,2023-09-12,1.6607083937316665
ABBV4693583,5.56775639681208,6.096994369370485,up,9.89301813326046,2023-09-12,-0.5292379725584047
ABBV5066461,5.748373820969066,4.970538661022782,down,-13.61230398625647,2023-09-12,0.7778351599462843
ABBV5068386,5.5150654823029726,5.808135747065699,up,5.341301264731704,2023-09-12,-0.2930702647627266
ABBV5068387,5.510708254341117,4.642865917447183,down,-15.653231022477982,2023-09-12,0.8678423368939345
ABBV5068389,5.669231160278746,6.011224448581303,up,6.392853238812036,2023-09-12,-0.3419932883025574
ABBV5068390,5.6779876666666675,6.126954756144573,up,8.092998866371607,2023-09-12,-0.44896708947790565
ABBV5082874,5.350733794421004,5.0024815433193925,down,-6.47131913917015,2023-09-12,0.34825225110161107
ABBV5083839,5.7197881695992185,6.00141188209295,up,5.872239187876671,2023-09-12,-0.2816237124937313
ABBV5084327,5.283343665678479,1.1738327868274343,down,-77.69003325238289,2023-09-12,4.109510878851045
ABBV5084339,5.369041550067889,5.558155636012716,up,4.666225369755333,2023-09-12,-0.18911408594482637
ABBV5087645,5.903741317569684,6.0841349932317215,up,3.7966243600666556,2023-09-12,-0.1803936756620379
ABC4127448,5.731644813333336,6.329728485409352,up,9.229879077272841,2023-09-12,-0.5980836720760161
ABC4213750,5.645129,6.218940614669997,up,10.524382058481565,2023-09-12,-0.5738116146699968
ABC4213751,5.943869417112299,6.160372218143635,up,2.9653777797699594,2023-09-12,-0.21650280103133657
ABC4571977,5.207446933333333,5.765795444893754,up,10.924687447355476,2023-09-12,-0.5583485115604203
ABC4571978,5.76595822533137,5.97698180765824,up,5.186749019334823,2023-09-12,-0.21102358232687024
ABC4987224,5.4483766666666655,6.244649598645084,up,14.867811803501633,2023-09-12,-0.7962729319784181
ABG5064855,6.880296751031636,6.280703602347102,down,-8.391900740487342,2023-09-12,0.5995931486845345
ABG5064856,7.271898546111346,6.257399016351674,down,-14.143536827822691,2023-09-12,1.0144995297596715
ABS3702072,6.6028325,6.312334439638591,down,-2.0632583273844536,2023-09-12,0.2904980603614087
ABS3702077,6.538837000000001,6.262913450966549,down,-3.490858881706506,2023-09-12,0.2759235490334522
ABS3706771,6.404264333333334,6.312291863833303,down,-11.176473663138232,2023-09-12,0.09197246950003102
ABS3706781,7.396642135135138,6.273295545787293,down,-17.358947131882044,2023-09-12,1.123346589347845
ABT.GW,5.204524,6.215702251327178,up,19.457431475450242,2023-09-12,-1.0111782513271779
ABT.GX,5.229948823529412,6.187902022640934,up,26.03440179844401,2023-09-12,-0.9579531991115218
ABT.HB,5.153771470588235,6.19338516039487,up,20.04106893347432,2023-09-12,-1.039613689806635
ABT4219949,5.366498890338165,6.2917058151738425,up,17.796847049373955,2023-09-12,-0.9252069248356776
ABT4427938,5.397552350282488,6.253676392416294,up,8.998132357064188,2023-09-12,-0.8561240421338061
ABT4427939,4.957986407227617,6.021757678770719,up,21.88790129472913,2023-09-12,-1.0637712715431018
ABT4427940,4.992747616048317,6.086890110832414,up,21.891567137025344,2023-09-12,-1.094142494784097
ABT4427941,5.238147940972222,6.128942464623576,up,16.868638758612555,2023-09-12,-0.8907945236513548
ABT4466215,5.184964405405405,6.108549337684226,up,17.811257894007653,2023-09-12,-0.9235849322788212
ABT4466374,5.169103136363636,5.759441823143482,up,10.175534564403852,2023-09-12,-0.5903386867798464
ABT5005071,4.8033647766277126,6.296309077763789,up,31.555894486093088,2023-09-12,-1.4929443011360766
ABT5005072,4.745311350364964,6.289514013733091,up,31.883592386836924,2023-09-12,-1.544202663368127
ABX.GB,6.209382536467485,6.17793199209299,up,2.0919187958783203,2023-09-12,0.03145054437449524
ABX.GQ,5.857306190476191,4.319098907019854,down,-26.194543764173574,2023-09-12,1.5382072834563365
ACE.GD,6.271811,6.283641318579838,up,3.866864500329634,2023-09-12,-0.011830318579838739
ACHN4899048,5.260114000000001,6.281563303940442,up,17.155488262756176,2023-09-12,-1.0214493039404413
ACM4502954,6.48701657783019,6.149587050513866,down,-4.716441255367242,2023-09-12,0.33742952731632325
ACOR5104777,42.1498335,no data prior to target date,N/A,N/A,2023-09-12,N/A
ACT4176287,7.056976999999999,6.320408875478502,down,-5.667313189654916,2023-09-12,0.7365681245214972
ACT4218879,6.7901869999999995,6.333178933417963,down,-11.240278236492465,2023-09-12,0.45700806658203685
ADBE4204134,5.358901978233035,6.303733290811144,up,18.647780360412334,2023-09-12,-0.9448313125781089
ADBE4939807,5.465813583963691,6.3351219541816866,up,20.5426150219215,2023-09-12,-0.8693083702179951
ADBE4939808,4.929117602545968,6.233375283799293,up,27.667734189087547,2023-09-12,-1.3042576812533246
ADBE4939809,4.92237559193357,5.916530028897815,up,20.081622976921114,2023-09-12,-0.9941544369642443
