trd_exctn_dt,bond_sym_id,volume_weighted_yield,total_daily_volume,maturity_date
2023-09-01,AFL.GF,5.991608199999999,17850000.0,2040-08-15
2023-09-01,AFL4404390,5.268173000000001,50000.0,2026-10-15
2023-09-01,AFL4972576,5.290858641160949,379000.0,2030-04-01
2023-09-05,AFL4404390,5.238726541254126,606000.0,2026-10-15
2023-09-05,AFL4972576,5.360029478846154,520000.0,2030-04-01
2023-09-06,AFL.GF,6.101071,1125000.0,2040-08-15
2023-09-06,AFL4404390,5.37288395652174,184000.0,2026-10-15
2023-09-06,AFL4972576,5.400342061855671,194000.0,2030-04-01
2023-09-07,AFL4404390,5.392968000000001,40000.0,2026-10-15
2023-09-07,AFL4972576,5.383415288468042,2957000.0,2030-04-01
2023-09-08,AFL4404390,5.218007789473685,570000.0,2026-10-15
2023-09-08,AFL4972576,5.359844310659186,1426000.0,2030-04-01
2023-09-11,AFL.GF,6.015719000000001,135000.0,2040-08-15
2023-09-11,AFL4404390,5.33173325,160000.0,2026-10-15
2023-09-11,AFL4972576,5.40436626984127,126000.0,2030-04-01
2023-09-12,AFL.GF,6.053162350906097,1821000.0,2040-08-15
2023-09-12,AFL4972576,5.383511990384615,104000.0,2030-04-01
